id,file_name,sheet_name,title,text_length,created_at
e05d1d3b-996d-41dc-ad4a-623a5d40e8da,article_29,sheet_29,"Brazil’s president, Luiz Inácio Lula da Silva, has said he has “forbidden” one of Donald Trump’s advisers from visiting the South American country in retaliation for his health minister being denied a US visa.Darren Beattie, a far-right political strategist who was recently tapped for a senior advisory role on Brazil, had reportedly hoped to use a trip to the country to visit the former president Jair Bolsonaro, who is serving a 27-year sentence for plotting a coup to stop Lula taking power afte",713,Tue Mar 17 2026 21:05:19 GMT+0100 (Central European Standard Time)
a1225361-e50b-4eb2-9288-5f4aaa8c078d,article_28,sheet_28,"As soon as Oscar’s deportation flight landed at the La Lima airport in Honduras, he put on his baseball cap. On the airport shuttle toward the terminal, he pulled his cap even lower – trying to obscure his face at various police checkpoints.His parents picked him up in a car, and drove him to a lodging they had arranged for him – miles away from his family home. He has hardly stepped outside since. “Because I can’t trust anyone – not the authorities, not the government, not a police officer,” he",772,Tue Mar 17 2026 21:05:19 GMT+0100 (Central European Standard Time)
bc391a79-7899-44de-93ab-085ab21f543b,article_27,sheet_27,"The message from Ursula von der Leyen was blunt. “Europe can no longer be a custodian for the old-world order” and needs a “more realistic and interest-driven foreign policy”. In a major foreign policy speech this week, the European Commission president said the EU would always “defend and uphold the rules-based system” but in a precarious and chaotic world, that could no longer be relied upon. On the day she spoke, missiles were raining down on Tehran and southern Iran as the war entered its 10",526,Tue Mar 17 2026 21:05:19 GMT+0100 (Central European Standard Time)
bbd4d119-7dc4-4fff-9394-9efa2b215693,article_26,sheet_26,"The European Commission has warned it will cut funding for the Venice Biennale if organisers go ahead with plans to include Russia.The commission reiterated that any breach of ethical standards by the art festival would be treated as a violation of contract, leading to suspension of the €2m (£1.7m) agreement.Commission spokesperson Thomas Régnier said he could not pre-empt a decision from EU lawyers as to whether the contract had been broken, but stressed the decision to include Russia was not i",550,Tue Mar 17 2026 21:05:19 GMT+0100 (Central European Standard Time)
dca36ad7-9ae2-4ea7-b0a3-0a8ed5eb12ee,article_25,sheet_25,"In the shadow of Antwerp’s main arena, close to the city’s docklands, runs the Groot Schijn River. It was here that the body of Rita Roberts was discovered in June 1992, floating against the grate of a water treatment plant.She appeared to have been murdered, but Belgian police were unable to identify her. A tattoo of a black rose with green leaves and initials on her left arm was their only clue.Without knowing her name, police struggled for leads on who could have killed Roberts. Her case rema",729,Tue Mar 17 2026 21:05:19 GMT+0100 (Central European Standard Time)
375beb86-0d5c-4579-a78a-b3af10426bf6,article_24,sheet_24,"As a seven-year-old boy is treated for polio at a hospital in Malawi, the country has launched a major vaccination campaign to stem an outbreak of the disease.The effort in Malawi, one of the world’s poorest countries and badly hit by the aid cuts, has seen an astonishing 1.3 million children already vaccinated against the disease in just four days after emergency supplies were airlifted in by the World Health Organization (WHO) just over a week ago.Malawi declared the outbreak after the virus w",657,Tue Mar 17 2026 21:05:19 GMT+0100 (Central European Standard Time)
71c43ef3-d96c-4578-99f9-c66b93a13ae2,article_23,sheet_23,"A loud cheer and sounds of clapping reverberated around Bansilalpet, a neighbourhood in Hyderabad, when the first trickle of clean water dribbled out of the ground. After an 18-month effort to clear out 3,000 tonnes of rubbish and restore the stone walls and adjacent area, the 17th-century Bansilalpet stepwell had become a source of clean drinking water for the first time in four decades.“It was such a joyous moment to see water collecting into the stepwell after clearing 40 years of garbage,” s",658,Tue Mar 17 2026 21:05:19 GMT+0100 (Central European Standard Time)
301f0921-9e74-44a9-aa6b-75baf0a0e40e,article_22,sheet_22,"Weight-loss jabs such as Wegovy could be made for just $3 a month, according to new analysis, potentially making the treatment available to millions in poorer countries as patents expire.More than a billion people live with obesity worldwide, with rates rising fast in lower-income nations as they shift to westernised diets and more sedentary lifestyles.The World Health Organization designated semaglutide – sold to treat obesity under the brand name Wegovy, and diabetes under the brand name Ozemp",553,Tue Mar 17 2026 21:05:19 GMT+0100 (Central European Standard Time)
b45daed6-eada-4f03-9d6d-909acfd0a00b,article_21,sheet_21,"On my journey documenting environmental stories in Kenya, I attended the Africa Climate Summit in 2023. It ignited a deeper exploration into the lives of waste pickers, revealing a glaring omission in global recycling narratives: the invisibility of these essential workers.Living and working in Nairobi, I immersed myself in Dandora, the largest dump in Kenya, spanning more than 12 hectares (30 acres) near the Nairobi River and receiving an estimated 2,000 tonnes of industrial and domestic waste",506,Tue Mar 17 2026 21:05:19 GMT+0100 (Central European Standard Time)
bf3eb3ec-4c5e-4969-ae91-6ac13029a09c,article_20,sheet_20,"The highest human rights court in Latin America condemned Peru on Thursday over the death of its citizen Celia Ramos, who died at the age of 34 in 1997 after undergoing sterilisation “under coercion”.The landmark ruling by the inter-American court of human rights (IACHR) is the first on Peru’s forced sterilisation programme, which operated between 1996 and 2000 and was directed against poor, rural and Indigenous women.The court held the Peruvian state “internationally responsible” for the violat",616,Tue Mar 17 2026 21:05:19 GMT+0100 (Central European Standard Time)
